날짜,측정소명,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
2015-12-31,종로구,67,52,0.007,0.04,0.6,0.006
2015-12-31,중구,56,36,0.008,0.053,0.7,0.007
2015-12-31,용산구,58,46,0.006,0.043,0.6,0.005
2015-12-31,성동구,70,40,0.006,0.043,0.8,0.005
2015-12-31,광진구,72,55,0.007,0.04,0.9,0.005
2015-12-31,동대문구,61,42,0.008,0.041,0.9,0.006
2015-12-31,중랑구,57,35,0.006,0.047,0.9,0.007
2015-12-31,성북구,52,35,0.009,0.043,0.9,0.006
2015-12-31,강북구,79,54,0.008,0.038,0.9,0.005
2015-12-31,도봉구,54,34,0.013,0.039,0.7,0.005
2015-12-31,노원구,55,42,0.008,0.038,0.8,0.007
2015-12-31,은평구,61,37,0.014,0.037,0.8,0.007
2015-12-31,서대문구,69,39,0.008,0.054,1,0.004
2015-12-31,마포구,58,50,0.008,0.036,0.9,0.006
2015-12-31,양천구,82,63,0.007,0.043,0.9,0.006
2015-12-31,강서구,61,40,0.007,0.039,0.7,0.007
2015-12-31,구로구,57,43,0.007,0.037,0.9,0.007
2015-12-31,금천구,70,53,0.006,0.047,0.9,0.006
2015-12-31,영등포구,75,39,0.006,0.032,1,0.006
2015-12-31,동작구,61,45,0.007,0.048,0.8,0.005
2015-12-31,관악구,71,47,0.007,0.051,1,0.006
2015-12-31,서초구,75,41,0.005,0.037,0.8,0.006
2015-12-31,강남구,69,44,0.007,0.045,0.7,0.007
2015-12-31,송파구,51,33,0.007,0.041,0.9,0.006
2015-12-31,강동구,59,36,0.002,0.04,0.8,0.004
2015-12-30,종로구,66,45,0.003,0.051,0.7,0.006
2015-12-30,중구,56,29,0.003,0.069,0.8,0.007
2015-12-30,용산구,52,41,0.003,0.05,0.6,0.005
2015-12-30,성동구,66,31,0.003,0.05,0.8,0.005
2015-12-30,광진구,72,47,0.004,0.043,0.6,0.005
2015-12-30,동대문구,62,33,0.004,0.053,1,0.007
2015-12-30,중랑구,58,33,0.003,0.05,0.8,0.007
2015-12-30,성북구,56,29,0.004,0.054,1,0.007
2015-12-30,강북구,52,32,0.004,0.048,0.9,0.004
2015-12-30,도봉구,54,28,0.004,0.058,0.9,0.007
2015-12-30,노원구,55,39,0.003,0.049,0.9,0.008
2015-12-30,은평구,59,30,0.008,0.042,0.6,0.007
2015-12-30,서대문구,63,32,0.003,0.064,0.9,0.005
2015-12-30,마포구,57,43,0.004,0.046,0.9,0.005
2015-12-30,양천구,87,60,0.004,0.052,1,0.005
2015-12-30,강서구,56,29,0.002,0.05,0.7,0.006
