날짜,측정소명,미세먼지,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
2014-12-31,종로구,40,14,0.015,0.029,0.4,0.006
2014-12-31,중구,34,12,0.016,0.023,0.8,0.006
2014-12-31,용산구,35,15,0.013,0.03,0.4,0.006
2014-12-31,성동구,38,18,0.016,0.03,0.5,0.005
2014-12-31,광진구,43,15,0.015,0.027,0.6,0.006
2014-12-31,동대문구,35,13,0.015,0.028,0.8,0.006
2014-12-31,중랑구,37,18,0.017,0.03,0.5,0.006
2014-12-31,성북구,30,14,0.02,0.026,0.5,0.007
2014-12-31,강북구,35,12,0.015,0.026,0.3,0.006
2014-12-31,도봉구,37,17,0.021,0.026,0.5,0.007
2014-12-31,노원구,36,13,0.024,0.024,0.4,0.007
2014-12-31,은평구,35,15,0.02,0.025,0.8,0.006
2014-12-31,서대문구,35,14,0.016,0.038,0.5,0.004
2014-12-31,마포구,36,16,0.012,0.034,0.6,0.005
2014-12-31,양천구,36,17,0.013,0.035,0.5,0.007
2014-12-31,강서구,39,13,0.018,0.026,0.3,0.007
2014-12-31,구로구,41,17,0.012,0.03,0.6,0.004
2014-12-31,금천구,37,18,0.011,0.029,0.7,0.007
2014-12-31,영등포구,36,17,0.019,0.027,0.9,0.006
2014-12-31,동작구,38,16,0.014,0.035,0.6,0.007
2014-12-31,관악구,37,13,0.01,0.033,0.7,0.006
2014-12-31,서초구,46,19,0.012,0.026,0.6,0.006
2014-12-31,강남구,40,18,0.015,0.035,0.5,0.006
2014-12-31,송파구,42,20,0.014,0.031,0.8,0.006
2014-12-31,강동구,37,19,0.012,0.026,0.6,0.006
2014-12-30,종로구,122,56,0.007,0.048,0.8,0.009
2014-12-30,중구,102,44,0.008,0.037,1.3,0.01
2014-12-30,용산구,94,43,0.007,0.046,0.8,0.008
2014-12-30,성동구,110,50,0.006,0.058,1.1,0.007
2014-12-30,광진구,67,51,0.008,0.051,1.3,0.008
2014-12-30,동대문구,111,46,0.008,0.052,1.4,0.01
2014-12-30,중랑구,110,57,0.01,0.055,1.2,0.009
2014-12-30,성북구,90,48,0.01,0.05,1.3,0.01
2014-12-30,강북구,113,44,0.012,0.043,0.8,0.008
2014-12-30,도봉구,105,54,0.016,0.046,1.1,0.01
2014-12-30,노원구,114,47,0.022,0.049,0.9,0.011
2014-12-30,은평구,100,44,0.009,0.042,1.4,0.007
2014-12-30,서대문구,103,48,0.007,0.064,0.7,0.008
2014-12-30,마포구,113,50,0.008,0.051,1.1,0.009
2014-12-30,양천구,107,50,0.01,0.053,1,0.01
2014-12-30,강서구,108,49,0.011,0.045,0.8,0.01
2014-12-30,구로구,103,46,0.009,0.044,1.1,0.008
2014-12-30,금천구,104,52,0.009,0.039,1.1,0.01
2014-12-30,영등포구,103,50,0.015,0.038,1.4,0.005
2014-12-30,동작구,108,46,0.011,0.047,0.9,0.011
2014-12-30,관악구,112,32,0.008,0.047,1.3,0.01
2014-12-30,서초구,119,67,0.006,0.043,1.2,0.009
2014-12-30,강남구,115,57,0.007,0.055,0.9,0.009
2014-12-30,송파구,105,45,0.008,0.051,1.5,0.008
2014-12-30,강동구,116,68,0.006,0.049,1.4,0.009
2014-12-29,종로구,126,71,0.004,0.058,0.8,0.011
2014-12-29,중구,111,58,0.005,0.046,1.6,0.013
2014-12-29,용산구,99,58,0.005,0.056,1.1,0.01
2014-12-29,성동구,109,66,0.006,0.055,1,0.01
2014-12-29,동대문구,116,57,0.004,0.058,1.4,0.013
2014-12-29,중랑구,116,72,0.004,0.069,1.4,0.012
2014-12-29,성북구,92,57,0.004,0.06,1.3,0.013
2014-12-29,강북구,112,59,0.006,0.055,0.8,0.013
2014-12-29,도봉구,104,65,0.009,0.06,1.2,0.014
2014-12-29,노원구,119,63,0.009,0.066,1.2,0.015
2014-12-29,은평구,109,59,0.005,0.052,1.5,0.011
2014-12-29,서대문구,112,57,0.003,0.078,0.9,0.01
2014-12-29,마포구,122,63,0.005,0.061,1.3,0.011
2014-12-29,양천구,111,61,0.006,0.066,1.2,0.013
2014-12-29,강서구,111,65,0.006,0.058,0.9,0.012
2014-12-29,구로구,108,58,0.006,0.055,1.3,0.012
2014-12-29,금천구,109,72,0.005,0.05,1.2,0.012
2014-12-29,영등포구,107,65,0.012,0.047,1.7,0.004
2014-12-29,동작구,114,64,0.008,0.059,1.2,0.013
2014-12-29,관악구,127,40,0.006,0.056,1.6,0.014
2014-12-29,서초구,123,83,0.007,0.045,1.3,0.012
2014-12-29,강남구,112,69,0.007,0.054,0.9,0.013
2014-12-29,송파구,94,52,0.006,0.055,1.5,0.013
2014-12-29,강동구,106,70,0.005,0.049,1.2,0.011
2014-12-28,종로구,60,34,0.002,0.065,0.8,0.007
2014-12-28,중구,56,31,0.003,0.049,1.5,0.008
2014-12-28,용산구,49,31,0.003,0.057,1,0.006
2014-12-28,성동구,55,38,0.004,0.057,1,0.005
2014-12-28,동대문구,55,31,0.002,0.061,1.4,0.008
